"A performance comparison of dynamic Web technologies,Evaluation of a just-in-time compiler retrofitted for PHP",Evaluation of a just-in-time compiler retrofitted for PHP,"Michiaki Tatsubori,Akihiko Tozawa,Toyotaro Suzumura,Scott Trent,Tamiya Onodera",10.1145/1735997.1736015,https://www.semanticscholar.org/paper/5db8bc966b2cd73541ae2f7a71e7d3c6ac59b9a2,2010
"A performance comparison of dynamic Web technologies,Performance Comparison of PHP and JSP as Server-Side Scripting Languages",Performance Comparison of PHP and JSP as Server-Side Scripting Languages,"Scott Trent,Michiaki Tatsubori,Toyotaro Suzumura,Akihiko Tozawa,Tamiya Onodera",10.1007/978-3-540-89856-6_9,https://www.semanticscholar.org/paper/dcf4f2ea4ba49d22a42691ccadd27cf679cdae39,2008
"A performance comparison of dynamic Web technologies,Performance Comparison of dynamic Web scripting Language : A case Study of PHP and ASP . NET",Performance Comparison of dynamic Web scripting Language : A case Study of PHP and ASP . NET,"Ogunrinde Mutiat Adebukola,Olorisade Babatunde Kazeem",,https://www.semanticscholar.org/paper/c26033e006e575c10ff0fa36ad106cdb76e994a1,2014
"A performance comparison of dynamic Web technologies,Handling Web Hotspots at Dynamic Content Web Sites Using DotSlash",Handling Web Hotspots at Dynamic Content Web Sites Using DotSlash,"Weibin Zhao,Henning Schulzrinne",,https://www.semanticscholar.org/paper/aade6d3fdf6adbbca8181b215516771e59f6a893,
"A performance comparison of dynamic Web technologies,in Singapore ISBN : 9780998900001 85 DESIGN & IMPLEMENTATION OF JMETER FRAMEWORK FOR PERFORMANCE COMPARISON IN PHP & PYTHON WEB APPLICATIONS",in Singapore ISBN : 9780998900001 85 DESIGN & IMPLEMENTATION OF JMETER FRAMEWORK FOR PERFORMANCE COMPARISON IN PHP & PYTHON WEB APPLICATIONS,"Varun Kumar,Vinay Chopra,Ravneet Singh Makkar,Jaskarn Singh Panesar",,https://www.semanticscholar.org/paper/e7179279e731fadd47e03311c0c20c0cb731dd8f,2017
"A performance comparison of dynamic Web technologies,Real-time groupware in the browser: testing the performance of web-based networking",Real-time groupware in the browser: testing the performance of web-based networking,"Carl Gutwin,Michael Lippold,T. C. Nicholas Graham",10.1145/1958824.1958850,https://www.semanticscholar.org/paper/653c6e8a7e9b2817754b977315437a72895a3e25,2011
"A performance comparison of dynamic Web technologies,Deception in Web Application Honeypots : Case of Glastopf",Deception in Web Application Honeypots : Case of Glastopf,Banyatsang Mphago,,https://www.semanticscholar.org/paper/cfd4011693a9fc3d67415a8ee20528c38156285b,2017
"A performance comparison of dynamic Web technologies,Performance Comparison of PHP and JSP as Server-Side Scripting Languages",Performance Comparison of PHP and JSP as Server-Side Scripting Languages,"Scott Trent,Michiaki Tatsubori,Toyotaro Suzumura,Akihiko Tozawa,Tamiya Onodera",10.1007/978-3-540-89856-6_9,https://www.semanticscholar.org/paper/dcf4f2ea4ba49d22a42691ccadd27cf679cdae39,2008
"A performance comparison of dynamic Web technologies,DotSlash: Handling Web Hotspots at Dynamic Content Web Sites",DotSlash: Handling Web Hotspots at Dynamic Content Web Sites,"Weibin Zhao,Henning Schulzrinne",10.1109/INFOCOM.2006.349,https://www.semanticscholar.org/paper/07477c2b23e880b29f2125b85938ce8fe61fec71,2005
"A performance comparison of dynamic Web technologies,Development of a Web-Based E-Learning System for Teaching Institution",Development of a Web-Based E-Learning System for Teaching Institution,"Tanveer Hossain Bhuiyan,Khaled Bin Yousuf,Sharmin Khan Urmi,Aynun Nahar,Nawab Ali",,https://www.semanticscholar.org/paper/b2444efa94701f7e085ebae8a75b4ff583cab586,
"A performance comparison of dynamic Web technologies,Performance Monitoring of Database Operations",Performance Monitoring of Database Operations,Christian Zirkelbach,,https://www.semanticscholar.org/paper/25c15e5e26db817d8b57b618fc6257b948a00b5d,2015
"A performance comparison of dynamic Web technologies,Towards autonomic computing: service discovery and web hotspot rescue",Towards autonomic computing: service discovery and web hotspot rescue,"Henning Schulzrinne,Weibin Zhao",,https://www.semanticscholar.org/paper/7246268bb5af6f8247406349b97e251ed7cdfbcb,2006
"A performance comparison of dynamic Web technologies,Hop, a Fast Server for the Diffuse Web","Hop, a Fast Server for the Diffuse Web",Manuel Serrano,10.1007/978-3-642-02053-7_1,https://www.semanticscholar.org/paper/6a1904c6e07b6840e46f4aac45bb762e6dec5402,2009
"A performance comparison of dynamic Web technologies,Performance and Usability Analysis of Varying Web Service Architectures",Performance and Usability Analysis of Varying Web Service Architectures,"Michael Lenner,Henning Schulzrinne",10.7916/D8XK8MVZ,https://www.semanticscholar.org/paper/730dedde82ebe8321f72671abe25e10680a06a3b,2005
"A performance comparison of dynamic Web technologies,Towards a sandbox for the deobfuscation and dissection of PHP malware",Towards a sandbox for the deobfuscation and dissection of PHP malware,"Peter M. Wrench,Barry Irwin",10.1109/ISSA.2014.6950504,https://www.semanticscholar.org/paper/37b18494deaf92bf9211b7662aba9e36b377520a,2014
"A performance comparison of dynamic Web technologies,Real-time groupware in the browser: testing the performance of web-based networking",Real-time groupware in the browser: testing the performance of web-based networking,"Carl Gutwin,Michael Lippold,T. C. Nicholas Graham",10.1145/1958824.1958850,https://www.semanticscholar.org/paper/653c6e8a7e9b2817754b977315437a72895a3e25,2011
"A performance comparison of dynamic Web technologies,A model for the management of dynamic web applications",A model for the management of dynamic web applications,Matthijs Dijkstra,10.1145/1052220.1052271,https://www.semanticscholar.org/paper/d9d60be5da62f59c9dda7c8d8ebd0fb87c067c32,2004
"A performance comparison of dynamic Web technologies,Performance evaluation of HTTP web servers in embedded systems",Performance evaluation of HTTP web servers in embedded systems,D. Scott Lind,,https://www.semanticscholar.org/paper/c104608ff97615bbcd54d70573ea3f838d1e5457,2014
